population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,207,Ghana,1,Male,1,<5 years,297,Tuberculosis,1,Number,1990,611.0221165851665,1054.309827597229,323.0837023387562
1,All Population,1,Deaths,207,Ghana,2,Female,1,<5 years,297,Tuberculosis,1,Number,1990,437.9065218877276,847.2433507819342,235.78107252180672
1,All Population,1,Deaths,207,Ghana,3,Both,1,<5 years,297,Tuberculosis,1,Number,1990,1048.928638472895,1627.699815671888,649.0249646483805
1,All Population,1,Deaths,207,Ghana,1,Male,1,<5 years,297,Tuberculosis,2,Percent,1990,0.015541087983474533,0.026431952798649093,0.008679860077416219
1,All Population,1,Deaths,207,Ghana,2,Female,1,<5 years,297,Tuberculosis,2,Percent,1990,0.012764127080076565,0.024496825578551745,0.006840059063203387
1,All Population,1,Deaths,207,Ghana,3,Both,1,<5 years,297,Tuberculosis,2,Percent,1990,0.014244757012301115,0.022091652353395285,0.008797552724213039
1,All Population,1,Deaths,207,Ghana,1,Male,1,<5 years,297,Tuberculosis,3,Rate,1990,45.44406668394232,78.41308000213115,24.02897851821201
1,All Population,1,Deaths,207,Ghana,2,Female,1,<5 years,297,Tuberculosis,3,Rate,1990,33.71721872050049,65.23467438817515,18.15429000258227
1,All Population,1,Deaths,207,Ghana,3,Both,1,<5 years,297,Tuberculosis,3,Rate,1990,39.68222829069936,61.577835998697665,24.55339273702713
1,All Population,1,Deaths,207,Ghana,1,Male,6,5-9 years,297,Tuberculosis,1,Number,1990,146.90943548672348,248.38353850967746,84.93387065325796
1,All Population,1,Deaths,207,Ghana,2,Female,6,5-9 years,297,Tuberculosis,1,Number,1990,107.87904054136513,184.43738072458513,56.73106168716578
1,All Population,1,Deaths,207,Ghana,3,Both,6,5-9 years,297,Tuberculosis,1,Number,1990,254.78847602808867,386.95801092693915,171.01262390149563
1,All Population,1,Deaths,207,Ghana,1,Male,6,5-9 years,297,Tuberculosis,2,Percent,1990,0.03465278612798506,0.05696365176925726,0.02126207095818699
1,All Population,1,Deaths,207,Ghana,2,Female,6,5-9 years,297,Tuberculosis,2,Percent,1990,0.03410061945586861,0.05808663629617422,0.019374667286067414
1,All Population,1,Deaths,207,Ghana,3,Both,6,5-9 years,297,Tuberculosis,2,Percent,1990,0.03440848267775697,0.050240593454612105,0.02314885330788342
1,All Population,1,Deaths,207,Ghana,1,Male,6,5-9 years,297,Tuberculosis,3,Rate,1990,12.889353062158502,21.792358755396652,7.451819838246399
1,All Population,1,Deaths,207,Ghana,2,Female,6,5-9 years,297,Tuberculosis,3,Rate,1990,9.818330075301661,16.78608813251078,5.1632299135374335
1,All Population,1,Deaths,207,Ghana,3,Both,6,5-9 years,297,Tuberculosis,3,Rate,1990,11.381980608888973,17.28629428412265,7.639522789513694
1,All Population,1,Deaths,207,Ghana,1,Male,7,10-14 years,297,Tuberculosis,1,Number,1990,87.81628551214045,160.13107263476914,48.8035793149528
1,All Population,1,Deaths,207,Ghana,2,Female,7,10-14 years,297,Tuberculosis,1,Number,1990,81.24039137979562,136.76692929634632,46.667856100879455
1,All Population,1,Deaths,207,Ghana,3,Both,7,10-14 years,297,Tuberculosis,1,Number,1990,169.05667689193626,250.92177603094427,113.45568512465618
1,All Population,1,Deaths,207,Ghana,1,Male,7,10-14 years,297,Tuberculosis,2,Percent,1990,0.04113701230938907,0.07112277480913795,0.024315398868532696
1,All Population,1,Deaths,207,Ghana,2,Female,7,10-14 years,297,Tuberculosis,2,Percent,1990,0.05463397002746162,0.08794253715288249,0.0319746876728719
1,All Population,1,Deaths,207,Ghana,3,Both,7,10-14 years,297,Tuberculosis,2,Percent,1990,0.04667807984157125,0.06963260374936467,0.03051472178697928
1,All Population,1,Deaths,207,Ghana,1,Male,7,10-14 years,297,Tuberculosis,3,Rate,1990,9.26605358327148,16.896445696002214,5.149575370336903
1,All Population,1,Deaths,207,Ghana,2,Female,7,10-14 years,297,Tuberculosis,3,Rate,1990,9.032083441635839,15.205371324295754,5.188403984600025
1,All Population,1,Deaths,207,Ghana,3,Both,7,10-14 years,297,Tuberculosis,3,Rate,1990,9.152124631507267,13.584008684036156,6.142085539026868
1,All Population,1,Deaths,207,Ghana,1,Male,8,15-19 years,297,Tuberculosis,1,Number,1990,182.36431684907086,308.87769205964173,112.23346300422187
1,All Population,1,Deaths,207,Ghana,2,Female,8,15-19 years,297,Tuberculosis,1,Number,1990,177.14281329553123,312.65655370840767,96.36480713022489
1,All Population,1,Deaths,207,Ghana,3,Both,8,15-19 years,297,Tuberculosis,1,Number,1990,359.5071301446026,581.8131929109209,235.97486890105574
1,All Population,1,Deaths,207,Ghana,1,Male,8,15-19 years,297,Tuberculosis,2,Percent,1990,0.0727489625246055,0.1192231759538856,0.04376739712145332
1,All Population,1,Deaths,207,Ghana,2,Female,8,15-19 years,297,Tuberculosis,2,Percent,1990,0.08037218519046674,0.13989980563753096,0.04444003530596964
1,All Population,1,Deaths,207,Ghana,3,Both,8,15-19 years,297,Tuberculosis,2,Percent,1990,0.07627924862132843,0.11868961341128678,0.05127079543889585
1,All Population,1,Deaths,207,Ghana,1,Male,8,15-19 years,297,Tuberculosis,3,Rate,1990,23.39977430092261,39.63312782712466,14.401050318869544
1,All Population,1,Deaths,207,Ghana,2,Female,8,15-19 years,297,Tuberculosis,3,Rate,1990,23.08935361614936,40.752642428323256,12.560493234742598
1,All Population,1,Deaths,207,Ghana,3,Both,8,15-19 years,297,Tuberculosis,3,Rate,1990,23.24578197905376,37.62012349937109,15.258168461925553
1,All Population,1,Deaths,207,Ghana,1,Male,9,20-24 years,297,Tuberculosis,1,Number,1990,258.17269391868456,404.7495293994144,159.37865689103995
1,All Population,1,Deaths,207,Ghana,2,Female,9,20-24 years,297,Tuberculosis,1,Number,1990,208.15755735402527,355.9781005935223,107.68954382937294
1,All Population,1,Deaths,207,Ghana,3,Both,9,20-24 years,297,Tuberculosis,1,Number,1990,466.3302512727096,674.5573454339549,313.92839490360814
