year,incidence_age_standardized_rate,incidence_all_age_number,incidence_all_age_rate,mortality_age_standardized_rate,mortality_all_age_number,mortality_all_age_rate,incidence_age_standardized_rate_lower,incidence_all_age_number_lower,incidence_all_age_rate_lower,mortality_age_standardized_rate_lower,mortality_all_age_number_lower,mortality_all_age_rate_lower,incidence_age_standardized_rate_upper,incidence_all_age_number_upper,incidence_all_age_rate_upper,mortality_age_standardized_rate_upper,mortality_all_age_number_upper,mortality_all_age_rate_upper,mortality_to_incidence_age_standardized_ratio,mortality_to_incidence_age_standardized_ratio_lower,mortality_to_incidence_age_standardized_ratio_upper
1990,485.2443989566,62664.71239036363,418.0575089176,125.51762504880134,9996.536059459995,66.69027596886475,436.69535262180005,55252.55931503146,368.60852667244,88.9066250595133,7256.188846609139,48.408492080075874,526.65682555929,69964.02311557913,466.753681647,183.1545304915276,14164.379252822657,94.4953687637109,0.25866887967938723,0.16881320196524133,0.41941030375504945
1991,464.70558332544,61308.13691399109,399.43524919904,120.83513186693366,9885.223223548552,64.40428302731868,419.8323488585,54256.66304512839,353.49343194922,87.10373984488953,7265.979149300281,47.33936371688182,504.13433163501,68386.3819458165,445.55148613746,168.2808636012732,13786.682695603591,89.82310204389591,0.2600251346287593,0.17277882972658182,0.4008287214142007
1992,445.29094655439,59989.32614848151,381.65136767891,116.75461891873228,9814.871014886618,62.44209073381069,402.44496639242,52958.26462916336,336.91983929933997,85.05542969535354,7236.768770770385,46.040235426290224,482.61447798084,66691.14960015708,424.28828745267,158.96125574444682,13280.893000861322,84.49288070398487,0.2621985015014701,0.17623886886114154,0.3949888034863513
1993,427.0897097606101,58765.68001929156,365.02068594038,112.29749968814292,9710.101790207347,60.313911365424424,387.37051180495,51590.35015467974,320.45140965243,82.76111786735358,7259.520809585705,45.09222499669153,464.2599469018,65605.71110151178,407.50726716714,153.7310195228803,13040.139442961456,80.99830790123556,0.2629365613868039,0.178264608910704,0.39685782690729804
1994,410.77974830076994,57718.73219856148,349.99253275345,109.10169560332088,9699.601967709494,58.816057284494555,372.65609455888,50437.62761799617,305.84166290017004,81.36978537617453,7248.42045941679,43.9526811906731,445.33100829738,64274.95999931243,389.74792386979,146.40778738940068,13144.212369227447,79.70334764681127,0.26559657834796035,0.18271753787654058,0.39287640676508007
1995,396.44283826446,56918.96902914511,336.85637367851,105.93320343912244,9684.629263491095,57.31532298924693,359.15549955984,49795.094285396255,294.69604200612,78.82053268250081,7221.740690925213,42.73951939547534,430.5687935702,63536.57864009278,376.02054010644,137.89992052649262,12719.67985596106,75.27728108421424,0.2672092751199008,0.1830614151781297,0.38395603212395385
1996,383.2132908802,56231.39368527082,324.67715177766,102.63925726841671,9638.084322581444,55.64979918447956,347.15672231713,49642.20042053975,286.63149148904,75.96463506991219,7204.945723286179,41.60098306014406,415.78854768293,62732.90526669696,362.21654257281,134.4354865626831,12474.33966030615,72.02619045660049,0.2678384589236592,0.1827001621214467,0.38724725151620537
1997,369.89541175842,55502.52083569911,312.55885194013996,99.24292866708446,9586.468625587862,53.98557727934341,335.31855404042,49098.14801157972,276.49304110555,73.58438722289291,7213.146766665321,40.62036891871404,403.44752315705,61599.16287396124,346.89169678174,131.1181364024631,12530.810707662236,70.566449049411,0.2682999721334753,0.18238899237026354,0.39102559289533934
1998,357.15537622605,54849.84055248592,301.12765488965,94.707188481734,9417.675010720352,51.70338440231894,323.9091305019,48269.86547676411,265.0033481674,70.93127025675389,7099.58996374516,38.97701169094435,390.65018902967,60938.44282434211,334.5543067306,125.0974315164888,12272.661411229295,67.37736541789617,0.26517083260085694,0.18157234336156083,0.38621150111652996
1999,345.58563081585,54382.8631169953,290.89469839431996,90.37114748480992,9254.192804721011,49.50080724916838,311.44921391263,47880.10866126159,256.11137350641997,68.04005263005206,6950.784961226357,37.17984635251578,378.2245605045,60639.89547165207,324.36365231342,118.33005636953922,11984.859408900886,64.1071812558016,0.2615014613641891,0.179893269065594,0.3799337133749647
2000,335.88537348476,54217.8433159518,282.38968642434,86.95035054313065,9151.232584795467,47.66352812960983,302.57093129871,47509.18636852777,247.44813552805,64.44725533081294,6685.508173883517,34.820982196001665,369.37085732008,60635.63617482165,315.81629290869,112.35895198458994,11781.564016991211,61.36341773977654,0.258869118476443,0.1744784518150707,0.37134747710996974
2001,327.36395031757,54282.86985532265,275.11721156115,84.59854982058026,9185.720954596702,46.55520133594698,293.6710116554,47720.89042975539,241.85969428737,62.53253052287678,6763.919225378903,34.2809914337772,360.9065766527,60763.85507342976,307.96423284294997,109.81402127905938,11872.04202141479,60.17005189986797,0.2584235366738234,0.1732651455200601,0.3739355160049558
2002,319.8715106834,54495.45807428138,268.61680729417003,82.47074190821196,9206.187249150727,45.378765746833515,286.46543689189,48046.03694334201,236.82658157064,61.01266106247641,6711.582671929167,33.082461785477705,353.08943473301997,60987.52067113928,300.61721960642,108.58981586227004,12016.64962100864,59.23198317129945,0.25782459254347045,0.17279662051799896,0.37906777529762187
2003,312.38702414554,54807.380532268544,262.62539195136003,79.88328868240141,9235.437929505655,44.254267993174494,280.89734563154997,48314.05767190332,231.51076022277,58.05495011438941,6756.357064161971,32.375036079204705,344.69169588386,61580.30100179082,295.07979637079,105.74254968118493,12131.374076415635,58.13098237474522,0.25571897200564925,0.16842572886917,0.37644552832438044
2004,305.97809212766,55291.1113667484,257.47459105716,78.49052693956978,9371.15746880232,43.63874911118566,274.66680551728,48765.48769785032,227.08666352216,58.289157588356034,6873.435114376219,32.00758406705254,338.81756074482,62466.47957004419,290.888189521,104.80369713555858,12515.077019233264,58.27906616313486,0.2565233556225392,0.17203700262825644,0.38156666561211056
2005,300.37950169936,55932.73428499077,253.09225971466,77.7148330697798,9587.485591607046,43.382795859717774,268.22859859977,49471.76026071829,223.85674071734,57.26218229717576,7172.556505343103,32.45538694065801,334.06854803724997,63400.32745489027,286.88266982351996,104.40143088047186,12792.846251332969,57.88686012442877,0.2587221585698016,0.17140848078517945,0.3892255763385306
2006,295.73839198717997,56714.75173246431,249.39773223476,77.0098790164385,9793.324890910188,43.06521573704088,263.89451329135,50120.46037309201,220.39996251022,56.04861715193805,7237.760294682531,31.82736323113275,328.23090211016,64271.49306275949,282.62778426339,101.9991125979738,12792.236252085468,56.252643519116006,0.26039865334689727,0.17075972064667805,0.3865147150117621
