series,model,year,forecast,model_params
incidence_age_standardized_rate,ARIMA,2024,183.6481853800749,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55"
incidence_age_standardized_rate,ARIMA,2025,172.3616127056888,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55"
incidence_age_standardized_rate,ARIMA,2026,160.77823857360298,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55"
incidence_age_standardized_rate,ARIMA,2027,148.83866381421083,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55"
incidence_age_standardized_rate,ARIMA,2028,136.48433579280515,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55"
incidence_age_standardized_rate,ARIMA,2029,123.6571233656449,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55"
incidence_age_standardized_rate,ARIMA,2030,110.298917172498,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55"
incidence_age_standardized_rate,ARIMA_LSTM,2024,183.20302340791983,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2025,171.7382025089931,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2026,160.16084084902212,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2027,148.2104576512469,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2028,135.85293646567877,"selected_d=0; adf_p=0.0155; kpss_p=0.0100; rule=adf_only; source=full_observed_period; order=(2, 0, 0); aic=145.55; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
