series,model,year,forecast,model_params
incidence_age_standardized_rate,ARIMA,2024,186.60147028609433,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; order=(0, 2, 2); aic=128.05"
incidence_age_standardized_rate,ARIMA,2025,178.07150110337372,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; order=(0, 2, 2); aic=128.05"
incidence_age_standardized_rate,ARIMA,2026,169.5415319206531,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; order=(0, 2, 2); aic=128.05"
incidence_age_standardized_rate,ARIMA,2027,161.0115627379325,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; order=(0, 2, 2); aic=128.05"
incidence_age_standardized_rate,ARIMA,2028,152.4815935552119,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; order=(0, 2, 2); aic=128.05"
incidence_age_standardized_rate,ARIMA,2029,143.9516243724913,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; order=(0, 2, 2); aic=128.05"
incidence_age_standardized_rate,ARIMA,2030,135.4216551897707,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; order=(0, 2, 2); aic=128.05"
incidence_age_standardized_rate,ARIMA_LSTM,2024,185.27911564019303,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=29; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps; order=(0, 2, 2); aic=128.05; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=30; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2025,176.7490420303788,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=29; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps; order=(0, 2, 2); aic=128.05; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=30; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2026,168.2191947425566,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=29; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps; order=(0, 2, 2); aic=128.05; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=30; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2027,159.69073158839373,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=29; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps; order=(0, 2, 2); aic=128.05; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=30; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2028,151.15867348406542,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=29; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps; order=(0, 2, 2); aic=128.05; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=30; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2029,142.62594818554243,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=29; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps; order=(0, 2, 2); aic=128.05; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=30; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps"
incidence_age_standardized_rate,ARIMA_LSTM,2030,134.09597558520787,"selected_d=2; adf_p=0.0511; kpss_p=0.1000; rule=kpss_only; source=training_period; order=(0, 2, 2); aic=57.24; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=29; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps; order=(0, 2, 2); aic=128.05; residual_seq_len=5; hidden_size=12; num_layers=2; relu_head=True; max_epochs=300; final_epochs=30; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2024,184.9159924356539,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
incidence_age_standardized_rate,Causal_TCN,2025,176.09095855830668,"transform=first_difference; architecture=causal_tcn; seq_len=8; channels=16; kernel_size=3; dilations=(1,2,4); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; patience=10; n_splits=5; lr=0.001; device=mps"
