series,selected_model,year,point_forecast,gbd_input_uncertainty_lower,gbd_input_uncertainty_median,gbd_input_uncertainty_upper,gbd_input_uncertainty_mean,combined_uncertainty_lower,combined_uncertainty_median,combined_uncertainty_upper,combined_uncertainty_mean,forecast_uncertainty_lower,forecast_uncertainty_median,forecast_uncertainty_upper,forecast_uncertainty_mean,n_simulations,n_holdout_residuals
incidence_age_standardized_rate,LSTM,2024,186.00101287340564,170.20769284109488,185.2582818016852,204.8285158676681,185.6951049999533,168.16087969297467,185.98469800886443,203.5400526978831,186.02003575243543,170.20769284109488,185.2582818016852,204.8285158676681,185.6951049999533,100,6
incidence_age_standardized_rate,LSTM,2025,177.228890670136,160.45507965133828,177.41069614584904,198.46911448268816,177.4271647933836,154.04607095371927,177.61755145791773,203.03346658362176,176.96229326125427,160.45507965133828,177.41069614584904,198.46911448268816,177.4271647933836,100,6
incidence_age_standardized_rate,LSTM,2026,168.41341174281257,150.2857045462464,169.67022679984075,192.23526874741935,169.33388212023476,141.89486370730995,169.3096580868476,191.95265951511462,168.29888508917819,150.2857045462464,169.67022679984075,192.23526874741935,169.33388212023476,100,6
incidence_age_standardized_rate,LSTM,2027,160.15469429732792,139.4824150753812,161.59733215891913,185.4281876187446,161.11438280835884,130.9726750182113,161.3238011588494,185.39746521062824,160.68727919743174,139.4824150753812,161.59733215891913,185.4281876187446,161.11438280835884,100,6
incidence_age_standardized_rate,LSTM,2028,152.6095451155171,128.35926943363827,153.48168314485116,179.26145808974024,152.95322404533428,126.56669709924937,154.46199483641135,184.03938120379217,153.90008189465,128.35926943363827,153.48168314485116,179.26145808974024,152.95322404533428,100,6
incidence_age_standardized_rate,LSTM,2029,145.36741691964687,116.9902362802811,145.35757898641856,172.97231752666485,144.76897262256728,106.27878497260932,143.68283300985104,178.17126671346523,144.01462749220462,116.9902362802811,145.35757898641856,172.97231752666485,144.76897262256728,100,6
incidence_age_standardized_rate,LSTM,2030,138.3007080166998,104.55875016991637,138.0449619050607,166.52981527998264,136.60042158205945,104.7665136706662,134.14285236257763,169.51594730611188,136.41255081435352,104.55875016991637,138.0449619050607,166.52981527998264,136.60042158205945,100,6
mortality_age_standardized_rate,Drift,2024,38.03058858589558,28.003048787450375,37.65560355071561,48.52169516353553,38.1265103306225,28.094785233188578,37.56820980984358,48.60906026547946,38.13411934817846,28.003048787450375,37.65560355071561,48.52169516353553,38.1265103306225,100,6
mortality_age_standardized_rate,Drift,2025,35.45744045463364,24.664470382458358,34.97844678770555,46.21893286199299,35.44880056090656,24.771052894944212,35.29202864298086,45.99272346595282,35.43831779050584,24.664470382458358,34.97844678770555,46.21893286199299,35.44880056090656,100,6
mortality_age_standardized_rate,Drift,2026,32.88429232337171,21.44757989926743,32.7286368427716,43.916170560450446,32.77109079119066,21.71748365282527,32.876946925922,44.146088343285726,32.783965298896284,21.44757989926743,32.7286368427716,43.916170560450446,32.77109079119066,100,6
mortality_age_standardized_rate,Drift,2027,30.311144192109772,18.051254033676027,30.473533913588877,41.81645628188903,30.093381021474723,18.56460521346402,30.543657235808986,41.788713884762984,30.01763856271737,18.051254033676027,30.473533913588877,41.81645628188903,30.093381021474723,100,6
mortality_age_standardized_rate,Drift,2028,27.73799606084784,14.29423911574307,27.992247594404045,39.98106525846673,27.415671251758777,13.872548666731035,27.58599883852147,40.51455956399114,27.368158085580323,14.29423911574307,27.992247594404045,39.98106525846673,27.415671251758777,100,6
mortality_age_standardized_rate,Drift,2029,25.164847929585907,10.450167329427176,25.28729427280193,38.16788200150155,24.737961482042852,10.786111684815856,25.265444078836722,38.01303570779528,24.75999751386295,10.450167329427176,25.28729427280193,38.16788200150155,24.737961482042852,100,6
mortality_age_standardized_rate,Drift,2030,22.591699798323972,6.606095543111279,22.58234095119981,36.37583679078718,22.060251712326934,6.964195737704569,22.6154436955486,36.79878143607152,22.236298292186035,6.606095543111279,22.58234095119981,36.37583679078718,22.060251712326934,100,6
mortality_to_incidence_age_standardized_ratio,ETS,2024,0.2104225117825833,0.1931547158110092,0.21795841063058075,0.25945028743272514,0.22236973335758514,0.19190275317728703,0.21862831502752594,0.2579796842113771,0.222398852594182,0.1931547158110092,0.21795841063058075,0.25945028743272514,0.22236973335758514,100,6
mortality_to_incidence_age_standardized_ratio,ETS,2025,0.2119232668365055,0.19029670622931816,0.2173939731598198,0.25945028743272514,0.22112730549990744,0.1892027845708753,0.21797236740400527,0.25868665232725857,0.2208405052791415,0.19029670622931816,0.2173939731598198,0.25945028743272514,0.22112730549990744,100,6
mortality_to_incidence_age_standardized_ratio,ETS,2026,0.2131238708796432,0.1874386966476271,0.2161070387108417,0.25945028743272514,0.21988487764222994,0.18684885342987032,0.21587813740820938,0.25966265309830544,0.21959543119460076,0.1874386966476271,0.2161070387108417,0.25945028743272514,0.21988487764222994,100,6
mortality_to_incidence_age_standardized_ratio,ETS,2027,0.2140843541141534,0.18458068706593608,0.21450962465004725,0.25945028743272514,0.21864244978455233,0.18225327893291668,0.21587029910214256,0.2615519103111139,0.2190286976900287,0.18458068706593608,0.21450962465004725,0.25945028743272514,0.21864244978455233,100,6
mortality_to_incidence_age_standardized_ratio,ETS,2028,0.2148527407017615,0.18172267748424503,0.21345543962511898,0.25945028743272514,0.21740002192687474,0.17828174823166779,0.21359736057649698,0.258559637989256,0.21751005112538213,0.18172267748424503,0.21345543962511898,0.25945028743272514,0.21740002192687474,100,6
mortality_to_incidence_age_standardized_ratio,ETS,2029,0.2154674499718481,0.1791474167181012,0.21246448013392397,0.25945028743272514,0.21615759406919707,0.1760273358092375,0.2120621243079307,0.2620697780711035,0.2161061376809405,0.1791474167181012,0.21246448013392397,0.25945028743272514,0.21615759406919707,100,6
mortality_to_incidence_age_standardized_ratio,ETS,2030,0.2159592173879173,0.17784528361779675,0.21102995425458881,0.25945028743272514,0.21491516621151946,0.1724428931483087,0.21028990847143003,0.2612443847129266,0.21455367486980226,0.17784528361779675,0.21102995425458881,0.25945028743272514,0.21491516621151946,100,6
