series,model,params,train_end,test_start,test_end,mae,rmse,mape
incidence_age_standardized_rate,Drift,linear_drift,2017,2018,2023,9.550637157985179,10.798427304537832,4.168305525427471
incidence_age_standardized_rate,ETS,trend=add; damped=True; aic=-9.88,2017,2018,2023,15.88811358953059,22.350637945990044,7.7505595772814475
incidence_age_standardized_rate,ARIMA,"order=(1, 1, 1); aic=58.50",2017,2018,2023,16.168423325614512,22.649953640463877,7.882184310660321
incidence_age_standardized_rate,Naive,last_observation,2017,2018,2023,21.56955494993166,28.141362266567178,10.397732269573085
incidence_all_age_rate,Drift,linear_drift,2017,2018,2023,10.807885802890178,11.798800452388992,5.256108896552924
incidence_all_age_rate,ETS,trend=add; damped=True; aic=-21.66,2017,2018,2023,13.844453063996989,19.94630746264604,7.423287685391306
incidence_all_age_rate,ARIMA,"order=(1, 1, 1); aic=37.56",2017,2018,2023,14.119892148023999,20.224470818648342,7.564639597371062
incidence_all_age_rate,Naive,last_observation,2017,2018,2023,15.166344939925002,21.25713636570439,8.099993772636694
incidence_all_age_number,Naive,last_observation,2017,2018,2023,2504.121657084916,3043.1106319575765,4.0027105269551075
incidence_all_age_number,Drift,linear_drift,2017,2018,2023,2546.0828925360693,3219.171146141558,4.089235228439078
incidence_all_age_number,ARIMA,"order=(1, 1, 1); aic=321.04",2017,2018,2023,4300.393207844168,6262.643945695304,7.033609853796611
incidence_all_age_number,ETS,trend=add; damped=False; aic=297.19,2017,2018,2023,4654.848666884837,6719.7081421796465,7.6067695327112865
mortality_age_standardized_rate,Drift,linear_drift,2017,2018,2023,0.542331277867857,0.6438675598533998,1.1350926223505091
mortality_age_standardized_rate,ETS,trend=add; damped=True; aic=-8.40,2017,2018,2023,4.892451274008057,5.786044359919253,11.149214620028184
mortality_age_standardized_rate,ARIMA,"order=(1, 1, 1); aic=64.93",2017,2018,2023,4.916671634591821,5.824092395001206,11.208503264415425
mortality_age_standardized_rate,Naive,last_observation,2017,2018,2023,8.874490192023524,10.138748927205912,20.06790498432532
mortality_all_age_rate,Drift,linear_drift,2017,2018,2023,0.3541762991197223,0.4457007705891349,1.329082567611381
mortality_all_age_rate,ETS,trend=add; damped=True; aic=-43.25,2017,2018,2023,3.0800660113595515,3.5756044626591685,11.623266529122539
mortality_all_age_rate,ARIMA,"order=(1, 1, 0); aic=31.10",2017,2018,2023,3.170006484760012,3.682805531372322,11.96457706702608
mortality_all_age_rate,Naive,last_observation,2017,2018,2023,4.613729508627966,5.2420208515991815,17.336702420787773
mortality_all_age_number,ARIMA,"order=(0, 1, 1); aic=295.92",2017,2018,2023,739.7004206508951,903.1781481866907,8.656791235680023
mortality_all_age_number,Drift,linear_drift,2017,2018,2023,791.367109265987,937.5086714503391,9.2274929143171
mortality_all_age_number,Naive,last_observation,2017,2018,2023,823.6070843423746,973.0892479263018,9.600200109194155
mortality_all_age_number,ETS,trend=add; damped=False; aic=261.28,2017,2018,2023,935.5077119641934,1096.7750333894571,10.893869883712744
