series,model,transform,architecture,params,train_end,test_start,test_end,mae,rmse,mape
incidence_age_standardized_rate,LSTM_2Layer_ReLU,d1,layers=2; activation=relu; hidden_size=16,transform=d1; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=56; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,7.311961660212816,7.798206253667922,3.330514207859814
incidence_age_standardized_rate,LSTM_1Layer,d1,layers=1; activation=none; hidden_size=16,transform=d1; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=58; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,8.057580107533715,10.06474439618916,3.8313203830499534
incidence_age_standardized_rate,LSTM_1Layer,none,layers=1; activation=none; hidden_size=16,transform=none; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=94; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,47.201920960651044,51.28730178572227,22.014603623361985
incidence_age_standardized_rate,LSTM_2Layer_ReLU,none,layers=2; activation=relu; hidden_size=16,transform=none; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=1; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,112.73319851632816,114.16888682106628,51.44616901604567
mortality_age_standardized_rate,LSTM_2Layer_ReLU,d1,layers=2; activation=relu; hidden_size=16,transform=d1; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=1; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,0.6925165540695074,0.7458227702386924,1.440296617527399
mortality_age_standardized_rate,LSTM_1Layer,d1,layers=1; activation=none; hidden_size=16,transform=d1; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=74; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,2.6459735009068233,3.260426113573424,6.077576579476626
mortality_age_standardized_rate,LSTM_1Layer,none,layers=1; activation=none; hidden_size=16,transform=none; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=99; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,5.7846356875229565,6.954652589542483,13.23056537354017
mortality_age_standardized_rate,LSTM_2Layer_ReLU,none,layers=2; activation=relu; hidden_size=16,transform=none; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=1; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,39.01528635560791,39.32115896782832,84.51799940279606
mortality_to_incidence_age_standardized_ratio,LSTM_1Layer,d1,layers=1; activation=none; hidden_size=16,transform=d1; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=51; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,0.012284073107393592,0.013106261272219805,5.885036385143458
mortality_to_incidence_age_standardized_ratio,LSTM_2Layer_ReLU,d1,layers=2; activation=relu; hidden_size=16,transform=d1; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=1; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,0.01337943414675559,0.014232970427178469,6.409999336891847
mortality_to_incidence_age_standardized_ratio,LSTM_1Layer,none,layers=1; activation=none; hidden_size=16,transform=none; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=23; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,0.03981949151538204,0.04044896561174032,18.98127221746733
mortality_to_incidence_age_standardized_ratio,LSTM_2Layer_ReLU,none,layers=2; activation=relu; hidden_size=16,transform=none; seq_len=5; hidden_size=16; max_epochs=300; final_epochs=1; batch_size=32; n_splits=5; patience=10; lr=0.001; device=mps,2017,2018,2023,0.04332114634763157,0.04379690751553025,20.632334225521358
