series,comparison_group,model,variant,channels,kernel_size,dilations,params,train_end,test_start,test_end,mae,rmse,mape
incidence_age_standardized_rate,architecture,Causal_TCN,default_dilations_1_2_4,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=19; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,11.693384952143944,17.2332720272766,5.741960462362511
incidence_age_standardized_rate,architecture,Causal_TCN,shallow_dilations_1_2,16,3,"(1, 2)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,12.507443138299749,18.373182352046236,6.141054601756309
incidence_age_standardized_rate,architecture,Causal_TCN,deeper_dilations_1_2_4_8,16,3,"(1, 2, 4, 8)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4, 8); dropout=0.1; max_epochs=300; final_epochs=17; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,12.987408460139482,19.020211357190572,6.373904588300492
incidence_age_standardized_rate,width,Causal_TCN,channels_32,32,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=32; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=12; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,10.607861130379598,14.978410862026907,5.173313108413987
incidence_age_standardized_rate,width,Causal_TCN,channels_16,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=19; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,11.693384952143944,17.2332720272766,5.741960462362511
incidence_age_standardized_rate,width,Causal_TCN,channels_8,8,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=8; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=36; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,12.094422864096918,17.832024856799972,5.941468175387606
incidence_age_standardized_rate,kernel,Causal_TCN,kernel_4,16,4,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=4; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=16; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,9.983981017949986,12.950276248414726,4.7959981156747435
incidence_age_standardized_rate,kernel,Causal_TCN,kernel_2,16,2,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=2; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=13; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,11.657487029240476,17.108730663586737,5.719973350086377
incidence_age_standardized_rate,kernel,Causal_TCN,kernel_3,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=19; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,11.693384952143944,17.2332720272766,5.741960462362511
mortality_age_standardized_rate,architecture,Causal_TCN,deeper_dilations_1_2_4_8,16,3,"(1, 2, 4, 8)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4, 8); dropout=0.1; max_epochs=300; final_epochs=1; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,2.123367874422575,2.6588286692425855,4.891178599596157
mortality_age_standardized_rate,architecture,Causal_TCN,shallow_dilations_1_2,16,3,"(1, 2)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2); dropout=0.1; max_epochs=300; final_epochs=15; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,3.0080811462914965,3.596822513367025,6.866867654032273
mortality_age_standardized_rate,architecture,Causal_TCN,default_dilations_1_2_4,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=16; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,3.3050884475166122,4.04276814148962,7.583329531900558
mortality_age_standardized_rate,width,Causal_TCN,channels_8,8,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=8; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=23; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,2.803713359440563,3.392934144862549,6.416245171191871
mortality_age_standardized_rate,width,Causal_TCN,channels_32,32,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=32; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=14; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,2.9748829385861284,3.6659174203168545,6.834103702116788
mortality_age_standardized_rate,width,Causal_TCN,channels_16,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=16; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,3.3050884475166122,4.04276814148962,7.583329531900558
mortality_age_standardized_rate,kernel,Causal_TCN,kernel_2,16,2,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=2; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=14; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,3.158085266718917,3.795210103384258,7.217763228817961
mortality_age_standardized_rate,kernel,Causal_TCN,kernel_4,16,4,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=4; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=19; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,3.1850344464602913,3.9115448192317532,7.312690750643671
mortality_age_standardized_rate,kernel,Causal_TCN,kernel_3,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=16; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,3.3050884475166122,4.04276814148962,7.583329531900558
mortality_to_incidence_age_standardized_ratio,architecture,Causal_TCN,deeper_dilations_1_2_4_8,16,3,"(1, 2, 4, 8)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4, 8); dropout=0.1; max_epochs=300; final_epochs=13; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.008735861448558249,0.00957213905794166,4.1820232166666
mortality_to_incidence_age_standardized_ratio,architecture,Causal_TCN,shallow_dilations_1_2,16,3,"(1, 2)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2); dropout=0.1; max_epochs=300; final_epochs=4; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.012437491898834733,0.01333770108137106,5.962448512628865
mortality_to_incidence_age_standardized_ratio,architecture,Causal_TCN,default_dilations_1_2_4,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=1; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.013930408115959947,0.014778887777037997,6.672788732561682
mortality_to_incidence_age_standardized_ratio,width,Causal_TCN,channels_8,8,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=8; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=32; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.008852837251957138,0.009667884678339435,4.2371851000587135
mortality_to_incidence_age_standardized_ratio,width,Causal_TCN,channels_32,32,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=32; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=1; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.013112151965497398,0.013859265882461894,6.2775245124813
mortality_to_incidence_age_standardized_ratio,width,Causal_TCN,channels_16,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=1; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.013930408115959947,0.014778887777037997,6.672788732561682
mortality_to_incidence_age_standardized_ratio,kernel,Causal_TCN,kernel_2,16,2,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=2; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=19; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.008516696799563753,0.009385254490351658,4.079836345501585
mortality_to_incidence_age_standardized_ratio,kernel,Causal_TCN,kernel_4,16,4,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=4; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=4; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.011071662334847387,0.011844481123761718,5.302129519777077
mortality_to_incidence_age_standardized_ratio,kernel,Causal_TCN,kernel_3,16,3,"(1, 2, 4)","transform=d1; seq_len=8; channels=16; kernel_size=3; dilations=(1, 2, 4); dropout=0.1; max_epochs=300; final_epochs=1; batch_size=16; n_splits=5; patience=10; lr=0.001; device=mps",2017,2018,2023,0.013930408115959947,0.014778887777037997,6.672788732561682
