year,incidence_age_standardized_rate,incidence_all_age_number,incidence_all_age_rate,mortality_age_standardized_rate,mortality_all_age_number,mortality_all_age_rate,mortality_to_incidence_age_standardized_ratio
1990,,,,,,,
1991,-4.232674436907202,-2.164815610932491,-4.45447320555854,-3.7305463515957316,-1.1135140737686289,-3.4277755015038713,0.5243208812181432
1992,-4.177835917554196,-2.151118647366068,-4.452256418478539,-3.3769259694233167,-0.7116906423958236,-3.0466798189115574,0.8358295346385436
1993,-4.08749311761647,-2.0397730859007535,-4.357558532980721,-3.817509981075573,-1.0674539127448757,-3.40824489278978,0.2814889791922015
1994,-3.8188607889855564,-1.7815633553230126,-4.117068913016231,-2.8458372570155044,-0.10813298073191202,-2.4834305171402504,1.0116573165507292
1995,-3.4901696336335775,-1.3856215113406511,-3.7532683830696745,-2.9041639973393707,-0.15436410966391811,-2.551572418376402,0.6071978720401994
1996,-3.337063028348819,-1.2079898065655792,-3.6155533492958747,-3.1094558304362807,-0.4806063262030591,-2.905896220945736,0.235464806929353
1997,-3.4753176465227242,-1.2962027113381458,-3.7324153458814124,-3.3089956920190455,-0.5355389646534814,-2.990526344253719,0.172310284217847
1998,-3.4442264292509073,-1.1759470982323217,-3.6572942917896367,-4.570340926320138,-1.760748628717912,-4.227412194215274,-1.166283957369041
1999,-3.2394151622338496,-0.8513742807397362,-3.3982121300283663,-4.578365239678039,-1.7359083405749764,-4.260025100120468,-1.3837763379470402
2000,-2.806904126247911,-0.3034408112873477,-2.923742514705796,-3.7852755407960847,-1.1125791530193663,-3.7116144597609924,-1.0066264540220193
2001,-2.5370033469399145,0.11993568056904991,-2.57533302836771,-2.70476278457763,0.37687130647883205,-2.3253142122610204,-0.17212628730767232
2002,-2.288718604141271,0.3916303974445867,-2.3627762981797695,-2.515182490575818,0.22280553323126284,-2.5269691792850213,-0.23176841322658515
2003,-2.339841557589639,0.5723824865587757,-2.2304692707663,-3.1374196059619885,0.31772849675228976,-2.4780263084557053,-0.8166872357089794
2004,-2.051599945743632,0.8826016309884777,-1.9612729964640918,-1.7434957496166192,1.4695517454896612,-1.3908689712905598,0.3145576609279388
2005,-1.829735713877234,1.1604449655324478,-1.7020441995874935,-0.9882643167718697,2.30844613939003,-0.5865274708396262,0.8571550695359642
2006,-1.545082033202505,1.3981391352851924,-1.4597552228840405,-0.9071036062167415,2.1469581084255784,-0.7320416224528725,0.6479904103936285
2007,-1.744971415085561,1.3924999597573429,-1.439577988291596,-3.647686991870225,-0.3036283473990764,-3.088330329989275,-1.9365070716358068
2008,-1.4238453018689867,1.5754217558817007,-1.221052252020105,-2.4945279388941533,0.1432685615335494,-2.613776821669722,-1.0861477000232989
2009,-1.4731753782894264,1.5917135668669813,-1.141706919709573,-2.734317451084878,0.15695479072515006,-2.537862163195048,-1.2799986984636358
2010,-1.4728066716879984,1.5889148766071282,-1.0599831204916477,-2.572265760272252,0.2362893624231921,-2.377339363225206,-1.1158940506106219
2011,-1.8692612577080547,1.1596887101259723,-1.3751402883252162,-2.5657553172325542,0.7338137667035616,-1.790343785738524,-0.7097613535281933
2012,-2.2807137361536944,0.6385576320359299,-1.7916960619212774,-3.379173460235374,-0.4693541943311397,-2.8728536613595645,-1.124097162473936
2013,-2.2650108367022193,0.49117132507225936,-1.8529766786843815,-2.0216338996390193,0.3179407288379066,-2.022166341264875,0.24901720371253155
2014,-2.3177461189997084,0.5426651087361734,-1.7258669693353768,-3.660024017591934,-0.9052242880886907,-3.141087811584753,-1.3741266660650897
2015,-1.8137745871871336,1.0325080723300184,-1.1697272788459667,-4.590938473407935,-1.85245929753729,-3.9918101647942184,-2.8284658815883157
2016,-1.1078541534011221,1.629796116506843,-0.5091360057552174,-1.4951368757918027,1.058281430136665,-1.0686224172719139,-0.39162131539893785
2017,-0.8102948056222692,1.8588619432054143,-0.21631196349647386,-1.9381261391079874,0.4517891579316924,-1.5947184091596567,-1.1370447480165025
2018,-0.8382417465405356,1.7803910100415044,-0.22708045372020758,-3.411392469964003,-1.3410295201746858,-3.2869354645035265,-2.5949022775962227
2019,-1.2241923906740615,1.3825940329606823,-0.5545772607908672,-4.2554288478187985,-1.8904921864833946,-3.765122876231286,-3.0688045286693555
2020,-1.8905061397050393,0.667835546030715,-1.1874800469361069,-5.91782615342572,-3.1886909668607077,-4.972930493321237,-4.104923851157027
2021,-5.5659832285772985,-3.3776579307801646,-5.080826383851356,-6.375190373077844,-3.9773308431005128,-5.66992882184535,-0.856902175896257
2022,-7.6021079390575785,-5.557647447646518,-7.184818463984966,-7.530687035048489,-4.7514212078171525,-6.392482898566609,0.07729711405319861
2023,-5.290932271307646,-3.729041318533477,-5.377093047206083,-3.9972619423804034,-1.4529616225226971,-3.139977303866459,1.3659413612149063
